nat_type_pair,direct_ok,relay_needed,latency_direct_ms,latency_relay_ms
full_cone->full_cone,1.00000000,0.00000000,1.20000000,2.40000000
full_cone->restricted_cone,1.00000000,0.00000000,1.20000000,2.40000000
full_cone->port_restricted,1.00000000,0.00000000,1.20000000,2.40000000
full_cone->symmetric,1.00000000,0.00000000,1.20000000,2.40000000
restricted_cone->full_cone,1.00000000,0.00000000,1.20000000,2.40000000
restricted_cone->restricted_cone,1.00000000,0.00000000,1.20000000,2.40000000
restricted_cone->port_restricted,1.00000000,0.00000000,1.20000000,2.40000000
restricted_cone->symmetric,0.00000000,1.00000000,1.20000000,2.40000000
port_restricted->full_cone,1.00000000,0.00000000,1.20000000,2.40000000
port_restricted->restricted_cone,0.00000000,1.00000000,1.20000000,2.40000000
port_restricted->port_restricted,1.00000000,0.00000000,1.20000000,2.40000000
port_restricted->symmetric,0.00000000,1.00000000,1.20000000,2.40000000
symmetric->full_cone,1.00000000,0.00000000,1.20000000,2.40000000
symmetric->restricted_cone,0.00000000,1.00000000,1.20000000,2.40000000
symmetric->port_restricted,0.00000000,1.00000000,1.20000000,2.40000000
symmetric->symmetric,0.00000000,1.00000000,1.20000000,2.40000000
#meta {"seed": 20260817, "nat_distribution": "uniform"}
