scheme,case_type,blocked,block_rate
st_ticket,did_spoofing,100,1.00000000
st_ticket,expired,100,1.00000000
st_ticket,forged_auth,100,1.00000000
st_ticket,legal,0,0.00000000
st_ticket,replay,99,1.00000000
st_ticket,tampered_st,100,1.00000000
st_ticket,unbound,100,1.00000000
no_ticket_psk,did_spoofing,0,0.00000000
no_ticket_psk,expired,0,0.00000000
no_ticket_psk,forged_auth,0,0.00000000
no_ticket_psk,legal,0,0.00000000
no_ticket_psk,replay,0,0.00000000
no_ticket_psk,tampered_st,0,0.00000000
no_ticket_psk,unbound,0,0.00000000
#meta {"seed": 20260817, "n_per_case": 100}
